num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
20,"(100, 101)",IAC,Split Cycle,50,0.48
20,"(100, 101)",IAC,Beat Path,50,0.28
20,"(100, 101)",IAC,Copeland,50,0.3
20,"(100, 101)",IAC,GETCHA,50,0.86
20,"(100, 101)",IAC,Uncovered Set,50,0.86
20,"(500, 501)",IAC,Split Cycle,50,0.4
20,"(500, 501)",IAC,Beat Path,50,0.06
20,"(500, 501)",IAC,Copeland,50,0.36
20,"(500, 501)",IAC,GETCHA,50,0.5
20,"(500, 501)",IAC,Uncovered Set,50,0.5
20,"(1000, 1001)",IAC,Split Cycle,50,0.46
20,"(1000, 1001)",IAC,Beat Path,50,0.0
20,"(1000, 1001)",IAC,Copeland,50,0.0
20,"(1000, 1001)",IAC,GETCHA,50,0.6
20,"(1000, 1001)",IAC,Uncovered Set,50,0.6
20,"(5000, 5001)",IAC,Split Cycle,50,0.4
20,"(5000, 5001)",IAC,Beat Path,50,0.0
20,"(5000, 5001)",IAC,Copeland,50,0.26
20,"(5000, 5001)",IAC,GETCHA,50,0.66
20,"(5000, 5001)",IAC,Uncovered Set,50,0.66
30,"(4, 5)",IAC,Split Cycle,50,0.62
30,"(4, 5)",IAC,Beat Path,50,0.58
30,"(4, 5)",IAC,Copeland,50,0.22
30,"(4, 5)",IAC,GETCHA,50,0.66
30,"(4, 5)",IAC,Uncovered Set,50,0.66
30,"(10, 11)",IAC,Split Cycle,50,0.6
30,"(10, 11)",IAC,Beat Path,50,0.52
30,"(10, 11)",IAC,Copeland,50,0.04
30,"(10, 11)",IAC,GETCHA,50,0.72
30,"(10, 11)",IAC,Uncovered Set,50,0.72
30,"(20, 21)",IAC,Split Cycle,50,0.72
30,"(20, 21)",IAC,Beat Path,50,0.32
30,"(20, 21)",IAC,Copeland,50,0.06
30,"(20, 21)",IAC,GETCHA,50,0.8
30,"(20, 21)",IAC,Uncovered Set,50,0.8
30,"(50, 51)",IAC,Split Cycle,50,0.54
30,"(50, 51)",IAC,Beat Path,50,0.34
30,"(50, 51)",IAC,Copeland,50,0.14
30,"(50, 51)",IAC,GETCHA,50,0.9
30,"(50, 51)",IAC,Uncovered Set,50,0.9
30,"(100, 101)",IAC,Split Cycle,50,0.58
30,"(100, 101)",IAC,Beat Path,50,0.26
30,"(100, 101)",IAC,Copeland,50,0.12
30,"(100, 101)",IAC,GETCHA,50,0.92
30,"(100, 101)",IAC,Uncovered Set,50,0.92
30,"(500, 501)",IAC,Split Cycle,50,0.2
30,"(500, 501)",IAC,Beat Path,50,0.0
30,"(500, 501)",IAC,Copeland,50,0.1
30,"(500, 501)",IAC,GETCHA,50,0.56
30,"(500, 501)",IAC,Uncovered Set,50,0.56
30,"(1000, 1001)",IAC,Split Cycle,50,0.3
30,"(1000, 1001)",IAC,Beat Path,50,0.04
30,"(1000, 1001)",IAC,Copeland,50,0.28
30,"(1000, 1001)",IAC,GETCHA,50,0.92
30,"(1000, 1001)",IAC,Uncovered Set,50,0.92
30,"(5000, 5001)",IAC,Split Cycle,50,0.3
30,"(5000, 5001)",IAC,Beat Path,50,0.06
30,"(5000, 5001)",IAC,Copeland,50,0.0
30,"(5000, 5001)",IAC,GETCHA,50,0.7
30,"(5000, 5001)",IAC,Uncovered Set,50,0.7
5,"(4, 5)",URN-R,Split Cycle,50,0.18
5,"(4, 5)",URN-R,Beat Path,50,0.18
5,"(4, 5)",URN-R,Copeland,50,0.02
5,"(4, 5)",URN-R,GETCHA,50,0.18
5,"(4, 5)",URN-R,Uncovered Set,50,0.18
5,"(10, 11)",URN-R,Split Cycle,50,0.12
5,"(10, 11)",URN-R,Beat Path,50,0.12
5,"(10, 11)",URN-R,Copeland,50,0.02
5,"(10, 11)",URN-R,GETCHA,50,0.14
5,"(10, 11)",URN-R,Uncovered Set,50,0.14
5,"(20, 21)",URN-R,Split Cycle,50,0.02
5,"(20, 21)",URN-R,Beat Path,50,0.02
5,"(20, 21)",URN-R,Copeland,50,0.0
5,"(20, 21)",URN-R,GETCHA,50,0.04
5,"(20, 21)",URN-R,Uncovered Set,50,0.04
5,"(50, 51)",URN-R,Split Cycle,50,0.04
5,"(50, 51)",URN-R,Beat Path,50,0.04
5,"(50, 51)",URN-R,Copeland,50,0.04
5,"(50, 51)",URN-R,GETCHA,50,0.1
5,"(50, 51)",URN-R,Uncovered Set,50,0.1
5,"(100, 101)",URN-R,Split Cycle,50,0.02
5,"(100, 101)",URN-R,Beat Path,50,0.02
5,"(100, 101)",URN-R,Copeland,50,0.06
5,"(100, 101)",URN-R,GETCHA,50,0.06
5,"(100, 101)",URN-R,Uncovered Set,50,0.06
5,"(500, 501)",URN-R,Split Cycle,50,0.02
5,"(500, 501)",URN-R,Beat Path,50,0.02
5,"(500, 501)",URN-R,Copeland,50,0.04
5,"(500, 501)",URN-R,GETCHA,50,0.04
5,"(500, 501)",URN-R,Uncovered Set,50,0.04
5,"(1000, 1001)",URN-R,Split Cycle,50,0.0
5,"(1000, 1001)",URN-R,Beat Path,50,0.0
5,"(1000, 1001)",URN-R,Copeland,50,0.08
5,"(1000, 1001)",URN-R,GETCHA,50,0.1
5,"(1000, 1001)",URN-R,Uncovered Set,50,0.1
5,"(5000, 5001)",URN-R,Split Cycle,50,0.0
5,"(5000, 5001)",URN-R,Beat Path,50,0.0
5,"(5000, 5001)",URN-R,Copeland,50,0.02
5,"(5000, 5001)",URN-R,GETCHA,50,0.02
5,"(5000, 5001)",URN-R,Uncovered Set,50,0.02
7,"(4, 5)",URN-R,Split Cycle,50,0.18
7,"(4, 5)",URN-R,Beat Path,50,0.18
7,"(4, 5)",URN-R,Copeland,50,0.06
7,"(4, 5)",URN-R,GETCHA,50,0.2
7,"(4, 5)",URN-R,Uncovered Set,50,0.2
7,"(10, 11)",URN-R,Split Cycle,50,0.12
7,"(10, 11)",URN-R,Beat Path,50,0.12
7,"(10, 11)",URN-R,Copeland,50,0.12
7,"(10, 11)",URN-R,GETCHA,50,0.2
7,"(10, 11)",URN-R,Uncovered Set,50,0.2
7,"(20, 21)",URN-R,Split Cycle,50,0.06
7,"(20, 21)",URN-R,Beat Path,50,0.06
7,"(20, 21)",URN-R,Copeland,50,0.08
7,"(20, 21)",URN-R,GETCHA,50,0.16
7,"(20, 21)",URN-R,Uncovered Set,50,0.16
7,"(50, 51)",URN-R,Split Cycle,50,0.02
7,"(50, 51)",URN-R,Beat Path,50,0.02
7,"(50, 51)",URN-R,Copeland,50,0.08
7,"(50, 51)",URN-R,GETCHA,50,0.16
7,"(50, 51)",URN-R,Uncovered Set,50,0.16
7,"(100, 101)",URN-R,Split Cycle,50,0.08
7,"(100, 101)",URN-R,Beat Path,50,0.02
7,"(100, 101)",URN-R,Copeland,50,0.08
7,"(100, 101)",URN-R,GETCHA,50,0.12
7,"(100, 101)",URN-R,Uncovered Set,50,0.12
7,"(500, 501)",URN-R,Split Cycle,50,0.0
7,"(500, 501)",URN-R,Beat Path,50,0.0
7,"(500, 501)",URN-R,Copeland,50,0.04
7,"(500, 501)",URN-R,GETCHA,50,0.06
7,"(500, 501)",URN-R,Uncovered Set,50,0.06
7,"(1000, 1001)",URN-R,Split Cycle,50,0.0
7,"(1000, 1001)",URN-R,Beat Path,50,0.0
7,"(1000, 1001)",URN-R,Copeland,50,0.0
7,"(1000, 1001)",URN-R,GETCHA,50,0.04
7,"(1000, 1001)",URN-R,Uncovered Set,50,0.04
7,"(5000, 5001)",URN-R,Split Cycle,50,0.0
7,"(5000, 5001)",URN-R,Beat Path,50,0.0
7,"(5000, 5001)",URN-R,Copeland,50,0.1
7,"(5000, 5001)",URN-R,GETCHA,50,0.14
7,"(5000, 5001)",URN-R,Uncovered Set,50,0.14
10,"(4, 5)",URN-R,Split Cycle,50,0.16
10,"(4, 5)",URN-R,Beat Path,50,0.16
10,"(4, 5)",URN-R,Copeland,50,0.0
10,"(4, 5)",URN-R,GETCHA,50,0.22
10,"(4, 5)",URN-R,Uncovered Set,50,0.22
10,"(10, 11)",URN-R,Split Cycle,50,0.14
10,"(10, 11)",URN-R,Beat Path,50,0.12
10,"(10, 11)",URN-R,Copeland,50,0.06
10,"(10, 11)",URN-R,GETCHA,50,0.2
10,"(10, 11)",URN-R,Uncovered Set,50,0.2
10,"(20, 21)",URN-R,Split Cycle,50,0.08
10,"(20, 21)",URN-R,Beat Path,50,0.08
10,"(20, 21)",URN-R,Copeland,50,0.04
10,"(20, 21)",URN-R,GETCHA,50,0.18
10,"(20, 21)",URN-R,Uncovered Set,50,0.18
10,"(50, 51)",URN-R,Split Cycle,50,0.08
10,"(50, 51)",URN-R,Beat Path,50,0.04
10,"(50, 51)",URN-R,Copeland,50,0.1
10,"(50, 51)",URN-R,GETCHA,50,0.18
10,"(50, 51)",URN-R,Uncovered Set,50,0.18
10,"(100, 101)",URN-R,Split Cycle,50,0.02
10,"(100, 101)",URN-R,Beat Path,50,0.02
10,"(100, 101)",URN-R,Copeland,50,0.08
10,"(100, 101)",URN-R,GETCHA,50,0.14
10,"(100, 101)",URN-R,Uncovered Set,50,0.14
10,"(500, 501)",URN-R,Split Cycle,50,0.02
10,"(500, 501)",URN-R,Beat Path,50,0.0
10,"(500, 501)",URN-R,Copeland,50,0.06
10,"(500, 501)",URN-R,GETCHA,50,0.1
10,"(500, 501)",URN-R,Uncovered Set,50,0.1
10,"(1000, 1001)",URN-R,Split Cycle,50,0.04
